question,contexts,ground_truth,evolution_type,metadata,episode_done
What aspects of 'John Wick' set it apart from other action thrillers like 'Bourne' or 'Taken' movies?,"[': 19\nReview: I really don\'t understand the love that ""John Wick"" receives. It\'s just kind of a generic action thriller to me. No different than a ""Bourne"" or ""Taken"" movie. It gets a slight bump for me in a rating of 6 instead of 5 because I did think that the cinematography was really good and also the fight choreography was top notch. I can definitely see the influence of martial arts films on this.']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_1.csv', 'row': 19, 'Review_Date': '14 April 2023', 'Review_Title': "" I Don't Get It\n"", 'Review_Url': '/review/rw8991670/?ref_=tt_urv', 'Author': 'xiaoli7377', 'Rating': 6, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 963008)}]",True
How does 'John Wick: Chapter 2' compare to the original film in terms of length and genre focus?,"[': 9\nReview: ""John Wick: Chapter 2"" is an American movie from this year (2017). Experienced visual effects artist Stahelski and Kolstad returned from the very first Wick film to work on the script/direction here too, so the premise with regard to people working behind the camera is there. And in front of the camera we see familiar faces again, people that survived the film, like most of all Keanu Reeves playing the central character. This is a really long film at over 2 hours and at this runtime, it is considerably longer than the first. And there is a lot other stuff different compared to the original. Most has to do with the fun component. I think the first film was a great fun watch from start to finish while offering emotion nonetheless and also delivering in the crime and drama genres. And action too, but I don\'t care too much about that. This genre is also basically the only one where this new movie delivers as the first 30 minutes are truly packed with action. It gets less afterward, but there is no denying that it was still all about the action and nothing else.']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_2.csv', 'row': 9, 'Review_Date': '22 July 2017', 'Review_Title': ' A disappointing sequel for the most part\n', 'Review_Url': '/review/rw3760991/?ref_=tt_urv', 'Author': 'Horst_In_Translation', 'Rating': 4, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 27, 17, 40, 40, 963238)}]",True
What makes 'John Wick: Chapter 3 - Parabellum' one of the best looking action films?,"["": 8\nReview: About 6 months ago I saw a picture of the set of 'John Wick: Chapter 3 - Parabellum' featuring Keanu Reeves on horseback shooting at motorcyclists. It was such a great looking shot that I have been waiting eagerly to see how it looked in the actual film ever since. It did not let me down. The style this film possesses is insane. It is one of the best looking action films I have ever seen.""]",The style possessed by 'John Wick: Chapter 3 - Parabellum' is what makes it one of the best looking action films. The film's visuals are insane and the shot featuring Keanu Reeves on horseback shooting at motorcyclists is particularly impressive.,simple,"[{'source': 'john_wick_3.csv', 'row': 8, 'Review_Date': '15 May 2019', 'Review_Title': ' A brutal non-stop ride\n', 'Review_Url': '/review/rw4854687/?ref_=tt_urv', 'Author': 'jtindahouse', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963450)}]",True
How does the beautiful cinematography contribute to the appeal of John Wick: Chapter 3 - Parabellum?,"["": 13\nReview: Following on from two deliriously entertaining, visually gorgeous and blissfully simplistic thrillers, John Wick: Chapter 3 - Parabellum keeps up the franchise's unique appeal in stunning fashion. Complete with electrifying action, beautiful cinematography, a pulsating score and a great sense of humour, the film is pretty much as purely joyful as action thrillers get, and proves two hours of brilliant entertainment."", "": 24\nReview: John Wick: Chapter 3 - Parabellum is quite literally about consequences, dealing with the fallout of John's actions at the end of the previous film and sending him on an even bigger odyssey of violence that continues to explore this world of assassination and deliver beautifully clean action sequences.""]",The beautiful cinematography in John Wick: Chapter 3 - Parabellum enhances the film's unique appeal by providing visually stunning scenes that complement the electrifying action sequences. It adds to the overall aesthetic quality of the movie and contributes to the audience's enjoyment of the film.,simple,"[{'source': 'john_wick_3.csv', 'row': 13, 'Review_Date': '15 May 2019', 'Review_Title': ' Pure, delirious joy in the form of yet another exhilarating thriller\n', 'Review_Url': '/review/rw4855261/?ref_=tt_urv', 'Author': 'themadmovieman', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963453)}, {'source': 'john_wick_3.csv', 'row': 24, 'Review_Date': '17 May 2019', 'Review_Title': ' Makes John Wick a superb trilogy\n', 'Review_Url': '/review/rw4860603/?ref_=tt_urv', 'Author': 'masonsaul', 'Rating': 10, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963462)}]",True
What makes 'John Wick' one of the best action films of the year?,"[': 14\nReview: Keanu Reeve is John Wick. He\'s a deadly and unstoppable hit-man, and it shows. ""John Wick"" is short and to the point, but so much fun. At 1 hour and 36 minutes running time, there is never a dull moment in what may be one of the best action films of the year.']",The answer to given question is not present in context,simple,"[{'source': 'john_wick_1.csv', 'row': 14, 'Review_Date': '25 October 2014', 'Review_Title': "" Yeah I'm Thinking He's Back\n"", 'Review_Url': '/review/rw3111220/?ref_=tt_urv', 'Author': 'Palidan400', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 963004)}]",True
What is the significance of practical stunt work in the action movie John Wick?,"[': 22\nReview: John Wick is one of my favourite recent years action movie and the second one pick up right where the first one left. The action is sharp, well filmed, no bad shaky cams and jump cuts like a certain bad action movie i saw recently. Its so refreshing to see everything and admire the practical stunt work.']","The significance of practical stunt work in the action movie John Wick lies in the sharp and well-filmed action sequences that are free from bad shaky cams and jump cuts. This allows viewers to fully appreciate the skill and effort put into the stunts, providing a refreshing and immersive experience.",simple,"[{'source': 'john_wick_2.csv', 'row': 22, 'Review_Date': '12 February 2017', 'Review_Title': ' This is how you film an action movie !\n', 'Review_Url': '/review/rw3638970/?ref_=tt_urv', 'Author': 'destroyerwod', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 27, 17, 40, 40, 963248)}]",True
How does the emotionally intense plot line in JOHN WICK compare to other action films like TAKEN and THE RAID?,"["": 11\nReview: JOHN WICK is a rare example of Hollywood getting things spot-on when it comes to creating the near-perfect action film. JOHN WICK is a relentless, pulse-pounding thriller that has plenty of similarity to the Liam Neeson classic TAKEN, albeit with a more simplistic (and also more emotionally intense) plot line. This is the kind of lean, pared-down film-making that's all about intensity and momentum. It sits well with classic international fare like POINT BLANK, SLEEPLESS NIGHT, MEA CULPA, THE MAN FROM NOWHERE, and THE RAID films.""]","The emotionally intense plot line in JOHN WICK is compared to the Liam Neeson classic TAKEN, noting similarities but also highlighting JOHN WICK's more simplistic and emotionally intense nature. It is described as a lean, pared-down film-making style focused on intensity and momentum, similar to classic international films like POINT BLANK, SLEEPLESS NIGHT, MEA CULPA, THE MAN FROM NOWHERE, and THE RAID films.",simple,"[{'source': 'john_wick_1.csv', 'row': 11, 'Review_Date': '25 September 2015', 'Review_Title': ' Action as it should be\n', 'Review_Url': '/review/rw3323198/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 963002)}]",True
What is the premise of the movie John Wick in terms of a revenge plot?,"["": 0\nReview: The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts, kinetic chaos, and a relatable hero to tie it all together. John Wick succeeds in its simplicity.""]","The premise of the movie John Wick revolves around a man seeking revenge on those who took something he loved from him. In this case, it is Keanu Reeves' character seeking vengeance for the death of his dog.",simple,"[{'source': 'john_wick_1.csv', 'row': 0, 'Review_Date': '6 May 2015', 'Review_Title': ' Kinetic, concise, and stylish; John Wick kicks ass.\n', 'Review_Url': '/review/rw3233896/?ref_=tt_urv', 'Author': 'lnvicta', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 962984)}]",True
What set the first John Wick film apart from other action films?,"[': 5\nReview: The first John Wick film was special because it broke a mold of sorts. It went against certain action film conventions - the hero was not a muscle bound hulk like a Schwarzenegger or Stallone, the action was super fast paced, the plot was basic and straighforward, but introduced some unique elements, and there was something a bit unique and stylish about the film. John Wick was cool.']","The first John Wick film stood out from other action films due to several factors. Firstly, the protagonist was not a typical muscle-bound hero like Schwarzenegger or Stallone. Additionally, the film featured fast-paced action sequences, a simple yet unique plot, and a stylish and cool vibe that set it apart from the rest.",simple,"[{'source': 'john_wick_3.csv', 'row': 5, 'Review_Date': '17 July 2019', 'Review_Title': ' The magic is gone\n', 'Review_Url': '/review/rw4999970/?ref_=tt_urv', 'Author': 'soundoflight', 'Rating': 5, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963447)}]",True
What sets John Wick's action scenes apart from other recent action movies?,"[': 22\nReview: John Wick is one of my favourite recent years action movie and the second one pick up right where the first one left. The action is sharp, well filmed, no bad shaky cams and jump cuts like a certain bad action movie i saw recently. Its so refreshing to see everything and admire the practical stunt work.']","John Wick's action scenes stand out from other recent action movies due to their sharpness, well-filmed sequences, absence of shaky cams and jump cuts, and emphasis on practical stunt work. This allows viewers to fully appreciate the action without distractions.",simple,"[{'source': 'john_wick_2.csv', 'row': 22, 'Review_Date': '12 February 2017', 'Review_Title': ' This is how you film an action movie !\n', 'Review_Url': '/review/rw3638970/?ref_=tt_urv', 'Author': 'destroyerwod', 'Rating': 9, 'Movie_Title': 'John Wick 2', 'last_accessed_at': datetime.datetime(2024, 9, 27, 17, 40, 40, 963248)}]",True
What do the action scenes add to John Wick films and what do critics say they lack?,"["": 1\nReview: I'm a fan of the John Wick films. The action sequences are of the highest order and there is quite a bit that feels unique in each action scene. By half way through JW3I started to long for a plot line or a human relationship. There needs to be more to a movie than just fighting.""]","The action sequences in John Wick films are highly praised for their quality and uniqueness. However, critics have pointed out that the films lack a strong plot line or meaningful human relationships, emphasizing the need for more depth beyond just the fighting scenes.",multi_context,"[{'source': 'john_wick_3.csv', 'row': 1, 'Review_Date': '21 October 2021', 'Review_Title': ' Starting to test the friendship\n', 'Review_Url': '/review/rw7466057/?ref_=tt_urv', 'Author': 'benxrichardson', 'Rating': 6, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963444)}]",True
How does John Wick 3 explore consequences while keeping its unique appeal?,"["": 24\nReview: John Wick: Chapter 3 - Parabellum is quite literally about consequences, dealing with the fallout of John's actions at the end of the previous film and sending him on an even bigger odyssey of violence that continues to explore this world of assassination and deliver beautifully clean action sequences."", "": 13\nReview: Following on from two deliriously entertaining, visually gorgeous and blissfully simplistic thrillers, John Wick: Chapter 3 - Parabellum keeps up the franchise's unique appeal in stunning fashion. Complete with electrifying action, beautiful cinematography, a pulsating score and a great sense of humour, the film is pretty much as purely joyful as action thrillers get, and proves two hours of brilliant entertainment.""]","John Wick: Chapter 3 - Parabellum explores consequences by dealing with the fallout of John's actions from the previous film, sending him on a larger journey of violence. Despite this exploration, the film maintains its unique appeal through electrifying action, beautiful cinematography, a pulsating score, and a great sense of humor, delivering two hours of brilliant entertainment.",multi_context,"[{'source': 'john_wick_3.csv', 'row': 24, 'Review_Date': '17 May 2019', 'Review_Title': ' Makes John Wick a superb trilogy\n', 'Review_Url': '/review/rw4860603/?ref_=tt_urv', 'Author': 'masonsaul', 'Rating': 10, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963462)}, {'source': 'john_wick_3.csv', 'row': 13, 'Review_Date': '15 May 2019', 'Review_Title': ' Pure, delirious joy in the form of yet another exhilarating thriller\n', 'Review_Url': '/review/rw4855261/?ref_=tt_urv', 'Author': 'themadmovieman', 'Rating': 8, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963453)}]",True
How does CGI affect American action movies like John Wick and Mission Impossible?,"["": 10\nReview: Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible. These franchises keep getting better with every entry. Hollywood can make action masterpieces, but Marvel has greater demand, so that's what we get most of. It's a shame."", "": 17\nReview: Stuntman turned writer/director Chad Stahelski struck gold with his 2014 surprise hit John Wick. It was somewhat of a comeback for the legendary Keanu Reeves and reinvigorated the action genre. Since then it's become THE action juggernaut franchise. Now we are on number 4 and while usually things get redone with that amount of sequels, this film innovates and thrills to new heights in an absolute epic.""]","Most American action flicks released these days have poor screenplays and overuse computer-generated imagery. The John Wick franchise is one of the few exceptions, along with Mission Impossible.",multi_context,"[{'source': 'john_wick_4.csv', 'row': 10, 'Review_Date': '22 March 2023', 'Review_Title': ' How Can Anyone Choose to Watch Marvel Over This?\n', 'Review_Url': '/review/rw8944843/?ref_=tt_urv', 'Author': 'lovemichaeljordan', 'Rating': 8, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 17, 40, 40, 963709)}, {'source': 'john_wick_4.csv', 'row': 17, 'Review_Date': '16 March 2023', 'Review_Title': ' While the Wick franchise has already solidified itself one of the best in the action genre, this massive film is the most spectacular entry of the genre in 30 years.\n', 'Review_Url': '/review/rw8932278/?ref_=tt_urv', 'Author': 'tresm87', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 17, 40, 40, 963716)}]",True
What makes John Wick's revenge story unique?,"[': 3\nReview: John wick has a very simple revenge story. It can be summarized as ""Keanu gets angry and shoots bad guys"" but what makes it special? Directed by Chad Stahelski who\'s a stunt specialist boy does it show because the main selling point in the film are some real virtuoso action sequences, well made choreographies. Unlike today\'s action movies, it doesn\'t use quick-cuts or shaky cameras actually see what\'s going on.', "": 0\nReview: The best way I can describe John Wick is to picture Taken but instead of Liam Neeson it's Keanu Reeves and instead of his daughter it's his dog. That's essentially the plot of the movie. John Wick (Reeves) is out to seek revenge on the people who took something he loved from him. It's a beautifully simple premise for an action movie - when action movies get convoluted, they get bad i.e. A Good Day to Die Hard. John Wick gives the viewers what they want: Awesome action, stylish stunts, kinetic chaos, and a relatable hero to tie it all together. John Wick succeeds in its simplicity.""]","What makes John Wick's revenge story unique is the focus on real virtuoso action sequences and well-made choreographies, without relying on quick-cuts or shaky cameras. Directed by Chad Stahelski, a stunt specialist, the film stands out for its visually impressive action scenes.",multi_context,"[{'source': 'john_wick_1.csv', 'row': 3, 'Review_Date': '28 September 2018', 'Review_Title': ' Keanu gets pissed and shoots people in the face for 101 minutes*\n', 'Review_Url': '/review/rw4366368/?ref_=tt_urv', 'Author': 'Kitsfi', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 962995)}, {'source': 'john_wick_1.csv', 'row': 0, 'Review_Date': '6 May 2015', 'Review_Title': ' Kinetic, concise, and stylish; John Wick kicks ass.\n', 'Review_Url': '/review/rw3233896/?ref_=tt_urv', 'Author': 'lnvicta', 'Rating': 8, 'Movie_Title': 'John Wick 1', 'last_accessed_at': datetime.datetime(2024, 9, 26, 17, 40, 40, 962984)}]",True
How do the action sequences improve JOHN WICK series?,"[': 19\nReview: The inevitable third chapter of the JOHN WICK franchise continues on a high with the same quality as the last. In fact, this may just pip that one to the post to be the best JOHN WICK yet. The pacing is spot on and the plotting is measured by a huge amount of action sequences, all of which fizz and crackle with skill and energy. The movie hits the ground running as Keanu faces off with a hulking character in a library and then Triads in a weapon shop, but what really amazes here is the sheer inventiveness of the non-repetitive action. There are horse and motorbike chases, a Moroccan brawl with fighting dogs, alongside the massive action of the climax. There also seems to be a greater emphasis on hand-to-hand combat, featuring the likes of RAID actors and old-timer Mark Dacascos, which is a real pleasure as the choreography is top-notch. In terms of sheer enjoyment, this is a film hard to beat, and to criticise it at all is unnecessary. Bring on the fourth!', "": 19\nReview: John Wick: Chapter 4 picks up where Chapter 3: Parabellum left off. As has been the tradition in the sequels to this beloved martial arts action franchise the action starts from the very inception of the film's opening, and lasts until the curtain falls. JW4 is no exception to that rule. What it does do is improve on the prior installment, and solidify Keanu Reeves as the greatest martial arts action star of all time. If you don't accept that notion, then you must accept the fact that it solidifies Reeves and Director, Chad Stahelski, as the greatest martial arts action pairing of modern times.""]","The action sequences in the JOHN WICK series continue to improve with each installment, showcasing a high level of quality and inventiveness. The pacing is well-executed, and the plotting is balanced by a plethora of engaging action scenes that are skillfully crafted and full of energy. The film features a variety of action sequences, including horse and motorbike chases, a Moroccan brawl with fighting dogs, and hand-to-hand combat scenes with top-notch choreography. The non-repetitive nature of the action keeps the audience engaged and entertained throughout the film, making it a highly enjoyable viewing experience.",multi_context,"[{'source': 'john_wick_3.csv', 'row': 19, 'Review_Date': '22 September 2019', 'Review_Title': ' Sheer enjoyment\n', 'Review_Url': '/review/rw5135863/?ref_=tt_urv', 'Author': 'Leofwine_draca', 'Rating': 9, 'Movie_Title': 'John Wick 3', 'last_accessed_at': datetime.datetime(2024, 9, 28, 17, 40, 40, 963458)}, {'source': 'john_wick_4.csv', 'row': 19, 'Review_Date': '17 March 2023', 'Review_Title': ' The Best John Wick Sequel\n', 'Review_Url': '/review/rw8935117/?ref_=tt_urv', 'Author': 'tkdlifemagazine', 'Rating': 9, 'Movie_Title': 'John Wick 4', 'last_accessed_at': datetime.datetime(2024, 9, 29, 17, 40, 40, 963718)}]",True
